0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
0, 0
37, 99
45, 85
47, 81
55, 71
58, 66
60, 63
63, 57
63, 53
64, 51
64, 49
64, 48
63, 48
62, 47
61, 46
61, 45
60, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
59, 45
53, 45
46, 45
40, 45
35, 45
31, 45
28, 47
26, 49
24, 52
24, 55
24, 58
24, 61
24, 65
27, 67
30, 68
36, 69
42, 69
47, 69
52, 67
54, 65
57, 63
60, 60
61, 57
61, 54
61, 49
60, 48
55, 44
51, 43
47, 42
43, 42
40, 42
38, 42
36, 44
35, 46
34, 49
34, 51
34, 54
34, 55
34, 56
34, 56
34, 56
34, 56
35, 56
35, 56
36, 56
37, 54
37, 52
37, 49
38, 46
38, 42
39, 38
40, 35
41, 31
41, 28
43, 25
43, 22
44, 20
45, 18
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
45, 17
